"cycle_or_year","file_label","module","variable_name","available"
"2009-2010","OHXDEN_F.XPT","dentition","OHX22TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX23TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX24TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX25TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX26TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX27TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX28TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX29TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX30TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX31TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHX32TC",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHXIMP",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHXDECAY",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHXREST",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","OHXSEAL",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","NHANES_CYCLE_SUFFIX",TRUE
"2009-2010","OHXDEN_F.XPT","dentition","NHANES_CYCLE",TRUE
"2009-2010","OHXPER_F.XPT","periodontal_full_mouth","OHDEXSTS",TRUE
"2009-2010","OHXPER_F.XPT","periodontal_full_mouth","OHDPDSTS",TRUE
"2009-2010","OHXPER_F.XPT","periodontal_full_mouth","OHDEXCLU",TRUE
"2009-2010","OHXPER_F.XPT","periodontal_full_mouth","OHX02CJD",TRUE
"2009-2010","OHXPER_F.XPT","periodontal_full_mouth","OHX02CJM",TRUE
"2009-2010","OHXPER_F.XPT","periodontal_full_mouth","OHX02CJS",TRUE
"2009-2010","OHXPER_F.XPT","periodontal_full_mouth","OHX02CJP",TRUE
"2009-2010","OHXPER_F.XPT","periodontal_full_mouth","OHX02CJL",TRUE
"2009-2010","OHXPER_F.XPT","periodontal_full_mouth","OHX02CJA",TRUE
"2009-2010","OHXPER_F.XPT","periodontal_full_mouth","OHX02PCD",TRUE
"2009-2010","OHXPER_F.XPT","periodontal_full_mouth","OHX02PCM",TRUE
"2009-2010","OHXPER_F.XPT","periodontal_full_mouth","OHX02PCS",TRUE
"2009-2010","OHXPER_F.XPT","periodontal_full_mouth","OHX02PCP",TRUE
